dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.682824,12.838981,0.000650,0.065042,3.252119,162.605936,0.000099
0.020000,5.682830,12.838981,0.000657,0.000307,-3.236744,-324.443127,0.000075
0.020000,5.682842,12.838981,0.000669,0.000614,0.015348,162.604616,0.000026
0.020000,5.687952,12.838981,0.005779,0.255509,12.744742,636.469691,6.283137
0.020000,5.698384,12.838980,0.016210,0.521564,13.302719,27.898857,6.283039
0.020000,5.711423,12.838977,0.029249,0.651951,6.519349,-339.168534,6.282917
0.020000,5.727069,12.838972,0.044896,0.782335,6.519214,-0.006748,6.282771
0.020000,5.745324,12.838963,0.063150,0.912716,6.519063,-0.007515,6.282601
0.020000,5.766186,12.838949,0.084012,1.043094,6.518871,-0.009622,6.282408
0.020000,5.789655,12.838928,0.107482,1.173467,6.518662,-0.010428,6.282192
0.020000,5.815732,12.838899,0.133558,1.303835,6.518423,-0.011953,6.281953
0.020000,5.844416,12.838860,0.162242,1.434199,6.518164,-0.012957,6.281691
0.020000,5.875707,12.838809,0.193533,1.564556,6.517869,-0.014787,6.281408
0.020000,5.909605,12.838743,0.227432,1.694907,6.517555,-0.015674,6.281104
0.020000,5.946110,12.838661,0.263937,1.825251,6.517211,-0.017183,6.280779
0.020000,5.985221,12.838560,0.303048,1.955588,6.516839,-0.018640,6.280433
0.020000,6.026939,12.838438,0.344767,2.085917,6.516449,-0.019465,6.280068
0.020000,6.071264,12.838291,0.389091,2.216238,6.516021,-0.021394,6.279685
0.020000,6.118195,12.838118,0.436022,2.346549,6.515573,-0.022417,6.279283
0.020000,6.167731,12.837914,0.485559,2.476851,6.515100,-0.023631,6.278863
0.020000,6.219874,12.837677,0.537702,2.607143,6.514595,-0.025278,6.278428
0.020000,6.274621,12.837404,0.592451,2.737424,6.514071,-0.026218,6.277976
0.020000,6.331974,12.837092,0.649805,2.867695,6.513513,-0.027878,6.277510
0.020000,6.391932,12.836737,0.709764,2.997953,6.512934,-0.028929,6.277029
0.020000,6.454495,12.836337,0.772328,3.128200,6.512324,-0.030537,6.276536
0.020000,6.519662,12.835887,0.837496,3.258434,6.511692,-0.031568,6.276031
0.020000,6.587433,12.835384,0.905269,3.388654,6.511030,-0.033103,6.275515
0.020000,6.657808,12.834826,0.975647,3.518861,6.510344,-0.034322,6.274989
0.020000,6.730787,12.834208,1.048628,3.649054,6.509631,-0.035661,6.274454
0.020000,6.806368,12.833528,1.124212,3.779231,6.508890,-0.037013,6.273913
0.020000,6.884553,12.832781,1.202400,3.909394,6.508124,-0.038305,6.273364
0.020000,6.965339,12.831965,1.283191,4.039541,6.507332,-0.039636,6.272811
0.020000,7.048728,12.831077,1.366584,4.169671,6.506513,-0.040943,6.272255
0.020000,7.134718,12.830113,1.452580,4.299784,6.505666,-0.042316,6.271696
0.020000,7.223310,12.829070,1.541178,4.429880,6.504795,-0.043569,6.271136
0.020000,7.314502,12.827945,1.632377,4.559958,6.503897,-0.044910,6.270576
0.020000,7.408295,12.826736,1.726177,4.690017,6.502971,-0.046264,6.270019
0.020000,7.504687,12.825440,1.822578,4.820058,6.502021,-0.047540,6.269465
0.020000,7.603679,12.824055,1.921580,4.950079,6.501043,-0.048899,6.268917
0.020000,7.705270,12.822577,2.023182,5.080080,6.500040,-0.050153,6.268375
0.020000,7.809459,12.821006,2.127383,5.210060,6.499009,-0.051515,6.267841
0.020000,7.916247,12.819339,2.234183,5.340019,6.497951,-0.052909,6.267317
0.020000,8.025631,12.817575,2.343582,5.469956,6.496870,-0.054046,6.266806
0.020000,8.137613,12.815713,2.455580,5.599871,6.495760,-0.055495,6.266308
0.020000,8.252192,12.813751,2.570175,5.729764,6.494625,-0.056771,6.265825
0.020000,8.369366,12.811689,2.687368,5.859633,6.493463,-0.058087,6.265359
0.020000,8.489136,12.809527,2.807157,5.989479,6.492274,-0.059438,6.264913
