dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.682849,12.588981,0.000650,0.065042,3.252119,162.605936,0.000099
0.020000,5.682849,12.588981,0.003252,0.195127,6.504237,162.605936,0.000075
0.020000,5.682849,12.588981,0.008456,0.325212,6.504237,-0.000000,0.000026
0.020000,5.687940,12.588981,0.016261,0.455297,6.504237,0.000000,6.283137
0.020000,5.698347,12.588980,0.026667,0.585381,6.504237,-0.000000,6.283039
0.020000,5.711356,12.588977,0.039676,0.715466,6.504237,0.000000,6.282917
0.020000,5.726966,12.588972,0.055286,0.845551,6.504237,0.000000,6.282771
0.020000,5.745178,12.588963,0.073498,0.975636,6.504237,0.000000,6.282601
0.020000,5.765991,12.588949,0.094311,1.105720,6.504237,0.000000,6.282408
0.020000,5.789406,12.588928,0.117727,1.235805,6.504237,0.000000,6.282192
0.020000,5.815423,12.588899,0.143744,1.365890,6.504237,0.000000,6.281953
0.020000,5.844042,12.588860,0.172362,1.495975,6.504237,0.000000,6.281691
0.020000,5.875262,12.588809,0.203583,1.626059,6.504237,0.000000,6.281408
0.020000,5.909084,12.588744,0.237405,1.756144,6.504237,-0.000000,6.281104
0.020000,5.945508,12.588662,0.273828,1.886229,6.504237,0.000000,6.280779
0.020000,5.984533,12.588561,0.312854,2.016314,6.504237,0.000000,6.280433
0.020000,6.026160,12.588439,0.354481,2.146398,6.504237,-0.000000,6.280068
0.020000,6.070389,12.588293,0.398710,2.276483,6.504237,0.000000,6.279685
0.020000,6.117219,12.588119,0.445540,2.406568,6.504237,0.000000,6.279283
0.020000,6.166651,12.587916,0.494972,2.536653,6.504237,-0.000000,6.278863
0.020000,6.218684,12.587680,0.547006,2.666737,6.504237,0.000000,6.278428
0.020000,6.273319,12.587408,0.601642,2.796822,6.504237,0.000000,6.277976
0.020000,6.330555,12.587096,0.658879,2.926907,6.504237,-0.000000,6.277510
0.020000,6.390393,12.586742,0.718718,3.056992,6.504237,0.000000,6.277029
0.020000,6.452833,12.586342,0.781159,3.187076,6.504237,-0.000000,6.276536
0.020000,6.517874,12.585893,0.846201,3.317161,6.504237,0.000000,6.276031
0.020000,6.585516,12.585392,0.913845,3.447246,6.504237,-0.000000,6.275515
0.020000,6.655759,12.584834,0.984091,3.577331,6.504237,0.000000,6.274989
0.020000,6.728604,12.584218,1.056939,3.707415,6.504237,-0.000000,6.274454
0.020000,6.804050,12.583539,1.132388,3.837500,6.504237,0.000000,6.273913
0.020000,6.882098,12.582793,1.210439,3.967585,6.504237,-0.000000,6.273364
0.020000,6.962746,12.581979,1.291091,4.097670,6.504237,0.000000,6.272811
0.020000,7.045996,12.581092,1.374345,4.227754,6.504237,0.000000,6.272255
0.020000,7.131846,12.580129,1.460201,4.357839,6.504237,-0.000000,6.271696
0.020000,7.220298,12.579088,1.548659,4.487924,6.504237,0.000000,6.271136
0.020000,7.311350,12.577965,1.639718,4.618009,6.504237,0.000000,6.270576
0.020000,7.405003,12.576758,1.733379,4.748093,6.504237,0.000000,6.270019
0.020000,7.501257,12.575464,1.829642,4.878178,6.504237,-0.000000,6.269465
0.020000,7.600112,12.574080,1.928506,5.008263,6.504237,0.000000,6.268917
0.020000,7.701567,12.572605,2.029972,5.138348,6.504237,0.000000,6.268375
0.020000,7.805623,12.571036,2.134040,5.268432,6.504237,0.000000,6.267841
0.020000,7.912280,12.569371,2.240710,5.398517,6.504237,-0.000000,6.267317
0.020000,8.021537,12.567609,2.349981,5.528602,6.504237,0.000000,6.266806
