dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.682873,12.338981,0.000650,0.065042,3.252119,162.605936,0.000099
0.020000,5.682867,12.338981,0.000657,0.000307,-3.236744,-324.443127,0.000075
0.020000,5.682855,12.338981,0.000669,0.000614,0.015348,162.604616,0.000026
0.020000,5.687928,12.338981,0.005742,0.253669,12.652704,631.867782,6.283137
0.020000,5.698311,12.338980,0.016125,0.519114,13.272286,30.979107,6.283039
0.020000,5.711289,12.338977,0.029102,0.648897,6.489127,-339.157984,6.282917
0.020000,5.726862,12.338972,0.044676,0.778682,6.489255,0.006443,6.282771
0.020000,5.745032,12.338963,0.062846,0.908470,6.489422,0.008311,6.282601
0.020000,5.765797,12.338949,0.083611,1.038262,6.489599,0.008848,6.282408
0.020000,5.789158,12.338928,0.106972,1.168059,6.489812,0.010679,6.282192
0.020000,5.815115,12.338899,0.132929,1.297860,6.490048,0.011794,6.281953
0.020000,5.843669,12.338860,0.161482,1.427666,6.490317,0.013430,6.281691
0.020000,5.874818,12.338809,0.192632,1.557478,6.490602,0.014244,6.281408
0.020000,5.908564,12.338744,0.226378,1.687296,6.490921,0.015997,6.281104
0.020000,5.944906,12.338663,0.262720,1.817122,6.491264,0.017131,6.280779
0.020000,5.983845,12.338562,0.301659,1.946954,6.491630,0.018317,6.280433
0.020000,6.025381,12.338440,0.343195,2.076795,6.492033,0.020133,6.280068
0.020000,6.069514,12.338294,0.387328,2.206644,6.492450,0.020851,6.279685
0.020000,6.116243,12.338121,0.434058,2.336502,6.492900,0.022470,6.279283
0.020000,6.165570,12.337918,0.483386,2.466369,6.493378,0.023901,6.278863
0.020000,6.217495,12.337683,0.535311,2.596247,6.493876,0.024900,6.278428
0.020000,6.272017,12.337411,0.589833,2.726135,6.494408,0.026604,6.277976
0.020000,6.329137,12.337100,0.646954,2.856034,6.494959,0.027591,6.277510
0.020000,6.388854,12.336747,0.706673,2.985945,6.495543,0.029185,6.277029
0.020000,6.451170,12.336348,0.768990,3.115868,6.496148,0.030224,6.276536
0.020000,6.516085,12.335900,0.833906,3.245804,6.496784,0.031837,6.276031
0.020000,6.583598,12.335399,0.901421,3.375753,6.497443,0.032949,6.275515
0.020000,6.653710,12.334843,0.971536,3.505715,6.498131,0.034374,6.274989
