dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.577597,10.415774,0.000654,0.065446,3.272318,163.615921,6.282765
0.020000,5.577567,10.415774,0.000684,0.001493,-3.197692,-323.500499,6.282884
0.020000,5.577508,10.415774,0.000744,0.002980,0.074369,163.603026,6.283122
0.020000,5.583890,10.415775,0.007126,0.319123,15.807152,786.639166,0.000294
0.020000,5.594243,10.415781,0.017479,0.517653,9.926497,-294.032770,0.000767
0.020000,5.607185,10.415795,0.030422,0.647107,6.472689,-172.690383,0.001356
0.020000,5.622717,10.415821,0.045953,0.776581,6.473715,0.051265,0.002058
0.020000,5.640839,10.415866,0.064075,0.906092,6.475568,0.092686,0.002870
0.020000,5.661551,10.415935,0.084788,1.035638,6.477300,0.086585,0.003791
0.020000,5.684856,10.416035,0.108092,1.165228,6.479474,0.108688,0.004815
0.020000,5.710752,10.416174,0.133989,1.294857,6.481467,0.099650,0.005941
0.020000,5.739243,10.416361,0.162480,1.424545,6.484387,0.146012,0.007163
0.020000,5.770327,10.416604,0.193566,1.554288,6.487153,0.138282,0.008477
0.020000,5.804008,10.416913,0.227248,1.684093,6.490243,0.154516,0.009878
0.020000,5.840285,10.417299,0.263527,1.813963,6.493515,0.163592,0.011361
0.020000,5.879160,10.417771,0.302405,1.943906,6.497156,0.182087,0.012919
0.020000,5.920635,10.418341,0.343884,2.073928,6.501082,0.196270,0.014548
0.020000,5.964710,10.419019,0.387964,2.204026,6.504930,0.192431,0.016240
0.020000,6.011388,10.419818,0.434649,2.334218,6.509572,0.232100,0.017988
0.020000,6.060669,10.420749,0.483939,2.464498,6.513993,0.221026,0.019785
0.020000,6.112555,10.421824,0.535836,2.594874,6.518831,0.241877,0.021623
0.020000,6.167049,10.423054,0.590343,2.725354,6.523979,0.257430,0.023495
0.020000,6.224150,10.424450,0.647462,2.855937,6.529165,0.259285,0.025391
0.020000,6.283862,10.426024,0.707195,2.986632,6.534721,0.277813,0.027303
0.020000,6.346186,10.427787,0.769544,3.117439,6.540375,0.282694,0.029222
0.020000,6.411124,10.429747,0.834511,3.248373,6.546667,0.314623,0.031138
0.020000,6.478677,10.431916,0.902099,3.379424,6.552590,0.296136,0.033041
0.020000,6.548849,10.434302,0.972312,3.510609,6.559249,0.332939,0.034920
0.020000,6.621641,10.436913,1.045150,3.641924,6.565754,0.325244,0.036766
0.020000,6.697055,10.439756,1.120618,3.773382,6.572861,0.355379,0.038567
0.020000,6.775094,10.442836,1.198717,3.904977,6.579787,0.346300,0.040311
0.020000,6.855760,10.446158,1.279452,4.036723,6.587299,0.375604,0.041987
0.020000,6.939056,10.449725,1.362824,4.168617,6.594691,0.369558,0.043583
0.020000,7.024985,10.453538,1.448838,4.300672,6.602735,0.402214,0.045086
0.020000,7.113549,10.457597,1.537495,4.432884,6.610618,0.394165,0.046483
0.020000,7.204753,10.461899,1.628800,4.565262,6.618875,0.412833,0.047762
0.020000,7.298600,10.466440,1.722757,4.697811,6.627461,0.429281,0.048908
0.020000,7.395092,10.471213,1.819367,4.830534,6.636145,0.434246,0.049908
0.020000,7.494235,10.476208,1.918636,4.963437,6.645165,0.450974,0.050747
0.020000,7.596033,10.481414,2.020567,5.096525,6.654397,0.461629,0.051410
0.020000,7.700489,10.486816,2.125163,5.229803,6.663882,0.474201,0.051883
0.020000,7.807610,10.492395,2.232428,5.363276,6.673664,0.489141,0.052149
0.020000,7.917399,10.498130,2.342367,5.496950,6.683697,0.501637,0.052193
0.020000,8.029863,10.503996,2.454984,5.630831,6.694051,0.517679,0.051997
0.020000,8.145006,10.509965,2.570282,5.764924,6.704656,0.530264,0.051546
0.020000,8.262837,10.516004,2.688267,5.899237,6.715659,0.550172,0.050821
0.020000,8.383359,10.522076,2.808943,6.033775,6.726883,0.561167,0.049804
0.020000,8.506581,10.528139,2.932313,6.168546,6.738568,0.584258,0.048477
0.020000,8.632509,10.534147,3.058385,6.303555,6.750445,0.593849,0.046821
0.020000,8.761150,10.540049,3.187161,6.438813,6.762903,0.622896,0.044815
0.020000,8.892511,10.545787,3.318647,6.574324,6.775518,0.630741,0.042440
0.020000,9.026600,10.551299,3.452849,6.710100,6.788840,0.666115,0.039674
0.020000,9.163423,10.556517,3.589772,6.846143,6.802119,0.663949,0.036496
0.020000,9.302988,10.561364,3.729422,6.982468,6.816253,0.706697,0.032884
0.020000,9.445302,10.565761,3.871803,7.119081,6.830671,0.720886,0.028814
0.020000,9.590371,10.569616,4.016923,7.255987,6.845300,0.731472,0.024262
0.020000,9.738200,10.572835,4.164787,7.393202,6.860759,0.772948,0.019205
0.020000,9.888794,10.575312,4.315401,7.530727,6.876243,0.774180,0.013617
0.020000,10.042157,10.576935,4.468773,7.668573,6.892284,0.802049,0.007472
0.020000,10.198290,10.577583,4.624908,7.806752,6.908962,0.833938,0.000745
0.020000,10.357195,10.577125,4.783813,7.945261,6.925431,0.823433,6.276593
0.020000,10.518868,10.575421,4.945495,8.084111,6.942486,0.852765,6.268619
0.020000,10.683305,10.572322,5.109962,8.223304,6.959688,0.860086,6.259980
0.020000,10.850497,10.567669,5.277218,8.362845,6.977025,0.866859,6.250650
0.020000,11.020432,10.561291,5.447273,8.502729,6.994215,0.859487,6.240599
0.020000,11.193093,10.553008,5.620132,8.642954,7.011229,0.850705,6.229802
0.020000,11.368456,10.542629,5.795802,8.783512,7.027930,0.835030,6.218231
0.020000,11.546493,10.529951,5.974290,8.924390,7.043868,0.796933,6.205860
0.020000,11.727167,10.514762,6.155602,9.065571,7.059045,0.758851,6.192665
0.020000,11.910433,10.496839,6.339742,9.207031,7.073014,0.698433,6.178625
0.020000,12.096238,10.475949,6.526717,9.348738,7.085380,0.618288,6.163718
0.020000,12.284515,10.451850,6.716530,9.490656,7.095883,0.525181,6.147928
0.020000,12.475188,10.424290,6.909185,9.632735,7.103932,0.402443,6.131242
