dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.577492,10.165774,0.000654,0.065446,3.272318,163.615921,6.282765
0.020000,5.577492,10.165774,0.003272,0.196339,6.544637,163.615921,6.282884
0.020000,5.577492,10.165774,0.008508,0.327232,6.544637,0.000000,6.283122
0.020000,5.583963,10.165775,0.016362,0.458125,6.544637,0.000000,0.000294
0.020000,5.594435,10.165781,0.026833,0.589017,6.544637,-0.000000,0.000767
0.020000,5.607524,10.165795,0.039922,0.719910,6.544637,0.000000,0.001356
0.020000,5.623231,10.165822,0.055629,0.850803,6.544637,-0.000000,0.002058
0.020000,5.641556,10.165867,0.073954,0.981696,6.544637,0.000000,0.002870
0.020000,5.662499,10.165937,0.094897,1.112588,6.544637,0.000000,0.003791
0.020000,5.686059,10.166038,0.118458,1.243481,6.544637,-0.000000,0.004815
0.020000,5.712237,10.166179,0.144636,1.374374,6.544637,0.000000,0.005941
0.020000,5.741033,10.166368,0.173433,1.505266,6.544637,0.000000,0.007163
0.020000,5.772447,10.166613,0.204847,1.636159,6.544637,-0.000000,0.008477
0.020000,5.806477,10.166926,0.238879,1.767052,6.544637,0.000000,0.009878
0.020000,5.843125,10.167315,0.275529,1.897945,6.544637,-0.000000,0.011361
0.020000,5.882390,10.167792,0.314797,2.028837,6.544637,0.000000,0.012919
0.020000,5.924272,10.168367,0.356683,2.159730,6.544637,-0.000000,0.014548
0.020000,5.968770,10.169052,0.401186,2.290623,6.544637,0.000000,0.016240
0.020000,6.015885,10.169859,0.448308,2.421516,6.544637,-0.000000,0.017988
0.020000,6.065615,10.170798,0.498047,2.552408,6.544637,0.000000,0.019785
0.020000,6.117961,10.171883,0.550404,2.683301,6.544637,0.000000,0.021623
0.020000,6.172922,10.173123,0.605379,2.814194,6.544637,0.000000,0.023495
0.020000,6.230497,10.174531,0.662972,2.945087,6.544637,0.000000,0.025391
0.020000,6.290687,10.176117,0.723182,3.075979,6.544637,-0.000000,0.027303
0.020000,6.353490,10.177893,0.786011,3.206872,6.544637,0.000000,0.029222
0.020000,6.418907,10.179869,0.851457,3.337765,6.544637,-0.000000,0.031138
0.020000,6.486936,10.182053,0.919521,3.468658,6.544637,0.000000,0.033041
0.020000,6.557577,10.184455,0.990204,3.599550,6.544637,-0.000000,0.034920
0.020000,6.630830,10.187082,1.063503,3.730443,6.544637,0.000000,0.036766
0.020000,6.706694,10.189942,1.139421,3.861336,6.544637,-0.000000,0.038567
