dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.577387,9.915774,0.000654,0.065446,3.272318,163.615921,6.282765
0.020000,5.577417,9.915774,0.000684,0.001493,-3.197692,-323.500499,6.282884
0.020000,5.577476,9.915774,0.000744,0.002980,0.074369,163.603026,6.283122
0.020000,5.584037,9.915775,0.007305,0.328037,16.252842,808.923667,0.000294
0.020000,5.594627,9.915781,0.017894,0.529489,10.072634,-309.010404,0.000767
0.020000,5.607863,9.915795,0.031131,0.661824,6.616743,-172.794551,0.001356
0.020000,5.623746,9.915822,0.047013,0.794128,6.615161,-0.079087,0.002058
0.020000,5.642274,9.915868,0.065542,0.926406,6.613903,-0.062915,0.002870
0.020000,5.663446,9.915938,0.086714,1.058646,6.611998,-0.095278,0.003791
0.020000,5.687263,9.916041,0.110531,1.190846,6.610023,-0.098725,0.004815
0.020000,5.713723,9.916183,0.136991,1.322993,6.607345,-0.133907,0.005941
0.020000,5.742824,9.916374,0.166093,1.455095,6.605097,-0.112375,0.007163
0.020000,5.774566,9.916622,0.197836,1.587138,6.602177,-0.146005,0.008477
0.020000,5.808947,9.916938,0.232218,1.719120,6.599077,-0.155015,0.009878
0.020000,5.845965,9.917331,0.269239,1.851033,6.595653,-0.171192,0.011361
0.020000,5.885620,9.917813,0.308897,1.982875,6.592101,-0.177600,0.012919
0.020000,5.927909,9.918394,0.351189,2.114642,6.588336,-0.188246,0.014548
0.020000,5.972830,9.919085,0.396116,2.246322,6.583995,-0.217079,0.016240
0.020000,6.020381,9.919899,0.443674,2.377921,6.579967,-0.201372,0.017988
0.020000,6.070561,9.920847,0.493863,2.509425,6.575224,-0.237185,0.019785
0.020000,6.123366,9.921941,0.546679,2.640834,6.570419,-0.240253,0.021623
0.020000,6.178795,9.923192,0.602122,2.772143,6.565448,-0.248520,0.023495
0.020000,6.236844,9.924611,0.660189,2.903344,6.560038,-0.270507,0.025391
0.020000,6.297512,9.926211,0.720878,3.034434,6.554532,-0.275320,0.027303
0.020000,6.360795,9.928000,0.784186,3.165407,6.548655,-0.293805,0.029222
0.020000,6.426690,9.929990,0.850111,3.296267,6.542963,-0.284640,0.031138
0.020000,6.495195,9.932189,0.918651,3.426995,6.536433,-0.326477,0.033041
0.020000,6.566306,9.934607,0.989803,3.557599,6.530192,-0.312052,0.034920
0.020000,6.640020,9.937251,1.063564,3.688066,6.523339,-0.342640,0.036766
0.020000,6.716333,9.940128,1.139932,3.818399,6.516643,-0.334806,0.038567
0.020000,6.795244,9.943242,1.218904,3.948585,6.509310,-0.366637,0.040311
0.020000,6.876747,9.946599,1.300477,4.078627,6.502118,-0.359629,0.041987
0.020000,6.960840,9.950200,1.384647,4.208514,6.494349,-0.388432,0.043583
0.020000,7.047520,9.954046,1.471412,4.338250,6.486784,-0.378269,0.045086
0.020000,7.136783,9.958137,1.560768,4.467822,6.478596,-0.409406,0.046483
0.020000,7.228625,9.962469,1.652713,4.597228,6.470319,-0.413847,0.047762
0.020000,7.323044,9.967038,1.747242,4.726466,6.461900,-0.420920,0.048908
0.020000,7.420036,9.971836,1.844353,4.855528,6.453100,-0.440012,0.049908
0.020000,7.519598,9.976852,1.944041,4.984411,6.444144,-0.447823,0.050747
0.020000,7.621727,9.982075,2.046303,5.113109,6.434895,-0.462409,0.051410
0.020000,7.726419,9.987489,2.151136,5.241617,6.425379,-0.475834,0.051883
0.020000,7.833672,9.993075,2.258534,5.369929,6.415624,-0.487764,0.052149
0.020000,7.943483,9.998811,2.368495,5.498040,6.405561,-0.503131,0.052193
0.020000,8.055850,10.004672,2.481014,5.625945,6.395240,-0.516040,0.051997
0.020000,8.170768,10.010629,2.596087,5.753636,6.384568,-0.533599,0.051546
0.020000,8.288236,10.016650,2.713709,5.881110,6.373666,-0.545129,0.050821
0.020000,8.408251,10.022696,2.833876,6.008356,6.362327,-0.566915,0.049804
0.020000,8.530810,10.028726,2.956583,6.135372,6.350766,-0.578065,0.048477
0.020000,8.655911,10.034695,3.081826,6.262145,6.338684,-0.604110,0.046821
0.020000,8.783550,10.040551,3.209600,6.388674,6.326438,-0.612271,0.044815
0.020000,8.913725,10.046237,3.339899,6.514946,6.313580,-0.642919,0.042440
0.020000,9.046432,10.051692,3.472718,6.640958,6.300628,-0.647606,0.039674
0.020000,9.181667,10.056850,3.608052,6.766695,6.286815,-0.690666,0.036496
0.020000,9.319427,10.061635,3.745895,6.892155,6.273010,-0.690247,0.032884
0.020000,9.459707,10.065968,3.886241,7.017327,6.258634,-0.718767,0.028814
0.020000,9.602501,10.069763,4.029085,7.142200,6.243614,-0.751030,0.024262
0.020000,9.747802,10.072927,4.174421,7.266771,6.228562,-0.752573,0.019205
0.020000,9.895602,10.075358,4.322241,7.391025,6.212708,-0.792732,0.013617
0.020000,10.045893,10.076949,4.472540,7.514957,6.196612,-0.804791,0.007472
0.020000,10.198663,10.077583,4.625312,7.638566,6.180411,-0.810028,0.000745
0.020000,10.353899,10.077135,4.780548,7.761833,6.163361,-0.852489,6.276593
0.020000,10.511585,10.075474,4.938244,7.884760,6.146360,-0.850077,6.268619
0.020000,10.671704,10.072457,5.098390,8.007343,6.129130,-0.861489,6.259980
0.020000,10.834232,10.067934,5.260982,8.129580,6.111860,-0.863503,6.250650
0.020000,10.999146,10.061745,5.426011,8.251470,6.094524,-0.866791,6.240599
0.020000,11.166414,10.053721,5.593472,8.373018,6.077404,-0.856022,6.229802
0.020000,11.336002,10.043683,5.763356,8.494233,6.060738,-0.833265,6.218231
0.020000,11.507869,10.031445,5.935659,8.615124,6.044541,-0.809875,6.205860
0.020000,11.681969,10.016809,6.110373,8.735711,6.029337,-0.760175,6.192665
0.020000,11.858248,9.999570,6.287493,8.856017,6.015306,-0.701582,6.178625
0.020000,12.036646,9.979513,6.467015,8.976072,6.002762,-0.627203,6.163718
0.020000,12.217092,9.956417,6.648933,9.095917,5.992236,-0.526267,6.147928
0.020000,12.399508,9.930051,6.833245,9.215597,5.984021,-0.410786,6.131242
0.020000,12.583807,9.900180,7.019949,9.335174,5.978823,-0.259908,6.113652
0.020000,12.769889,9.866564,7.209043,9.454703,5.976484,-0.116918,6.095155
0.020000,12.957645,9.828957,7.400528,9.574279,5.978767,0.114132,6.075753
0.020000,13.146956,9.787115,7.594408,9.693975,5.984825,0.302912,6.055456
0.020000,13.337689,9.740790,7.790686,9.813896,5.996062,0.561834,6.034284
0.020000,13.529701,9.689738,7.989369,9.934149,6.012613,0.827587,6.012261
0.020000,13.722837,9.633720,8.190465,10.054830,6.034078,1.073206,5.989423
0.020000,13.916934,9.572501,8.393987,10.176074,6.062174,1.404801,5.965815
0.020000,14.111814,9.505859,8.599947,10.297998,6.096214,1.702026,5.941490
0.020000,14.307294,9.433581,8.808361,10.420712,6.135707,1.974656,5.916513
0.020000,14.503181,9.355470,9.019248,10.544334,6.181081,2.268694,5.890955
0.020000,14.698697,9.271604,9.231992,10.637204,4.643507,-76.878702,5.864973
0.020000,14.892208,9.182559,9.445007,10.650779,0.678752,-198.237767,5.838853
0.020000,15.082156,9.089082,9.656710,10.585128,-3.282555,-198.065332,5.812882
0.020000,15.263282,8.994123,9.861219,10.225445,-17.984115,-735.078004,5.784442
0.020000,15.422296,8.896032,10.048053,9.341732,-44.185651,-1310.076821,5.679039
0.020000,15.572156,8.782047,10.236337,9.414164,3.621583,2390.361718,5.589806
0.020000,15.713633,8.655221,10.426339,9.500107,4.297154,33.778575,5.517834
0.020000,15.847843,8.518567,10.617876,9.576842,3.836736,-23.020920,5.462405
0.020000,15.976149,8.374799,10.810572,9.634816,2.898684,-46.902630,5.422041
0.020000,16.100061,8.226229,11.004034,9.673081,1.913278,-49.270257,5.395179
0.020000,16.221149,8.074790,11.197930,9.694831,1.087496,-41.289143,5.380513
0.020000,16.340994,7.922114,11.392025,9.704737,0.495285,-29.610521,5.377104
0.020000,16.461177,7.769631,11.586177,9.707614,0.143881,-17.570224,5.384397
0.020000,16.583265,7.618664,11.780333,9.707801,0.009345,-6.726782,5.402186
0.020000,16.708815,7.470536,11.974510,9.708816,0.050757,2.070593,5.430544
0.020000,16.839347,7.326668,12.168769,9.712965,0.207447,7.834533,5.469728
0.020000,16.976288,7.188670,12.363182,9.720630,0.383255,8.790376,5.520029
0.020000,17.120859,7.058424,12.557770,9.729447,0.440844,2.879471,5.581548
0.020000,17.273885,6.938100,12.752436,9.733266,0.190923,-12.496071,5.653892
0.020000,17.435552,6.830075,12.946873,9.721872,-0.569695,-38.030913,5.735843
0.020000,17.605193,6.736688,13.140520,9.682341,-1.976547,-70.342595,5.825143
0.020000,17.781207,6.659851,13.332574,9.602718,-3.981168,-100.231057,5.918567
0.020000,17.961258,6.600642,13.522111,9.476815,-6.295141,-115.698651,6.012388
0.020000,18.142699,6.559073,13.708253,9.307096,-8.485952,-109.540511,6.103081
0.020000,18.323063,6.534158,13.890329,9.103821,-10.163723,-83.888582,6.187948
0.020000,18.500395,6.524212,14.067941,8.880579,-11.162132,-49.920418,6.265385
0.020000,18.673368,6.527226,14.240939,8.649943,-11.531780,-18.482423,0.051616
0.020000,18.841210,6.541170,14.409360,8.421031,-11.445615,4.308226,0.113157
0.020000,18.992007,6.560839,14.561434,7.603693,-40.866899,-1471.064191,0.138728
0.020000,19.142336,6.583073,14.713398,7.598221,-0.273595,2029.665208,0.155290
0.020000,19.290115,6.607574,14.863194,7.489802,-5.420919,-257.366206,0.173651
0.020000,19.435283,6.634528,15.010844,7.382466,-5.366805,2.705714,0.193899
0.020000,19.577767,6.664126,15.156369,7.276274,-5.309606,2.859954,0.216124
0.020000,19.717479,6.696554,15.299795,7.171297,-5.248859,3.037359,0.240425
0.020000,19.854314,6.731997,15.441146,7.067539,-5.187924,3.046760,0.266898
0.020000,19.988147,6.770632,15.580444,6.964914,-5.131247,2.833821,0.295637
0.020000,20.118832,6.812630,15.717711,6.863355,-5.077917,2.666517,0.326725
0.020000,20.246194,6.858146,15.852963,6.762581,-5.038741,1.958790,0.360225
0.020000,20.370036,6.907316,15.986208,6.662266,-5.015719,1.151096,0.396175
0.020000,20.490128,6.960245,16.117447,6.561939,-5.016367,-0.032402,0.434574
0.020000,20.606216,7.017000,16.246667,6.460980,-5.047959,-1.579614,0.475371
0.020000,20.718023,7.077597,16.373839,6.358603,-5.118839,-3.543960,0.518453
0.020000,20.825251,7.141992,16.498917,6.253933,-5.233495,-5.732844,0.563637
0.020000,20.927600,7.210067,16.621838,6.146029,-5.395174,-8.083940,0.610661
0.020000,21.024773,7.281625,16.742516,6.033903,-5.606307,-10.556647,0.659190
0.020000,21.116500,7.356386,16.860850,5.916709,-5.859733,-12.671297,0.708815
0.020000,21.202551,7.433989,16.976725,5.793754,-6.147728,-14.399740,0.759076
0.020000,21.282758,7.514003,17.090018,5.664639,-6.455753,-15.401276,0.809478
0.020000,21.357026,7.595938,17.200604,5.529282,-6.767855,-15.605076,0.859522
0.020000,21.425343,7.679273,17.308363,5.387959,-7.066133,-14.913925,0.908728
0.020000,21.487784,7.763472,17.413188,5.241238,-7.336047,-13.495671,0.956664
0.020000,21.544501,7.848007,17.514986,5.089933,-7.565244,-11.459875,1.002964
0.020000,21.595718,7.932377,17.613686,4.934963,-7.748511,-9.163333,1.047334
0.020000,21.641717,8.016123,17.709233,4.777357,-7.880318,-6.590337,1.089563
0.020000,21.682818,8.098834,17.801593,4.618032,-7.966248,-4.296499,1.129513
0.020000,21.719368,8.180155,17.890750,4.457830,-8.010092,-2.192197,1.167114
0.020000,21.751725,8.259781,17.976699,4.297460,-8.018524,-0.421600,1.202355
0.020000,21.780247,8.337460,18.059449,4.137486,-7.998694,0.991507,1.235266
0.020000,21.805285,8.412984,18.139016,3.978339,-7.957349,2.067211,1.265915
0.020000,21.827175,8.486188,18.215422,3.820329,-7.900490,2.842972,1.294389
0.020000,21.846233,8.556937,18.288693,3.663526,-7.840151,3.016970,1.320793
0.020000,21.862755,8.625128,18.358857,3.508224,-7.765085,3.753279,1.345241
0.020000,21.877015,8.690682,18.425944,3.354328,-7.694802,3.514134,1.367847
0.020000,21.889263,8.753537,18.489981,3.201864,-7.623186,3.580801,1.388727
0.020000,21.899730,8.813649,18.550997,3.050823,-7.552058,3.556428,1.407992
0.020000,21.908623,8.870985,18.609019,2.901065,-7.487897,3.208044,1.425748
0.020000,21.916132,8.925521,18.664070,2.752554,-7.425585,3.115573,1.442095
0.020000,21.922429,8.977243,18.716174,2.605203,-7.367518,2.903357,1.457127
0.020000,21.927668,9.026143,18.765353,2.458964,-7.311974,2.777213,1.470928
0.020000,21.931989,9.072214,18.811627,2.313707,-7.262862,2.455592,1.483579
0.020000,21.935518,9.115457,18.855013,2.169290,-7.220809,2.102663,1.495150
0.020000,21.938365,9.155871,18.895528,2.025744,-7.177343,2.173305,1.505707
0.020000,21.940634,9.193461,18.933186,1.882924,-7.140998,1.817233,1.515309
0.020000,21.942413,9.228231,18.968001,1.740732,-7.109561,1.571869,1.524008
0.020000,21.943783,9.260184,18.999984,1.599149,-7.079167,1.519673,1.531852
0.020000,21.944816,9.289328,19.029146,1.458099,-7.052523,1.332210,1.538883
0.020000,21.945574,9.315667,19.055497,1.317524,-7.028750,1.188640,1.545138
0.020000,21.946113,9.339208,19.079043,1.177335,-7.009431,0.965936,1.550650
0.020000,21.946481,9.359954,19.099793,1.037490,-6.992221,0.860509,1.555448
0.020000,21.946720,9.377913,19.117753,0.897995,-6.974790,0.871555,1.559555
0.020000,21.946864,9.393087,19.132928,0.758753,-6.962103,0.634361,1.562994
0.020000,21.946944,9.405481,19.145322,0.619693,-6.953004,0.454955,1.565781
0.020000,21.946982,9.415098,19.154939,0.480851,-6.942076,0.546407,1.567931
0.020000,21.946996,9.421940,19.161781,0.342128,-6.936137,0.296939,1.569453
0.020000,21.947000,9.426009,19.165850,0.203418,-6.935515,0.031074,1.570355
0.020000,21.947000,9.427675,19.167517,0.083340,-6.003904,46.580564,1.570724
0.020000,21.947000,9.428000,19.167841,0.016231,-3.355435,132.423466,1.570796
0.020000,21.947000,9.428000,19.167841,0.000000,-0.811560,127.193764,1.570796
