dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.577692,17.474681,0.000654,0.065374,3.268687,163.434342,6.282386
0.020000,5.577624,17.474681,0.000721,0.003361,-3.100619,-318.465305,6.282655
0.020000,5.577564,17.474681,0.000781,0.003005,-0.017842,154.138886,0.000008
0.020000,5.585208,17.474684,0.008424,0.382168,18.958182,948.801154,0.000814
0.020000,5.595399,17.474698,0.018616,0.509565,6.369866,-629.415753,0.001888
0.020000,5.608138,17.474731,0.031355,0.636964,6.369922,0.002762,0.003230
0.020000,5.623425,17.474792,0.046642,0.764372,6.370402,0.024036,0.004839
0.020000,5.641261,17.474895,0.064478,0.891784,6.370580,0.008861,0.006715
0.020000,5.661645,17.475054,0.084862,1.019216,6.371607,0.051369,0.008856
0.020000,5.684576,17.475285,0.107795,1.146649,6.371663,0.002792,0.011262
0.020000,5.710057,17.475606,0.133278,1.274115,6.373296,0.081646,0.013931
0.020000,5.738085,17.476037,0.161309,1.401587,6.373630,0.016729,0.016862
0.020000,5.768661,17.476602,0.191891,1.529075,6.374378,0.037377,0.020053
0.020000,5.801785,17.477323,0.225023,1.656591,6.375778,0.069997,0.023504
0.020000,5.837456,17.478228,0.260705,1.784126,6.376790,0.050622,0.027210
0.020000,5.875674,17.479344,0.298939,1.911702,6.378758,0.098368,0.031171
0.020000,5.916437,17.480701,0.339725,2.039298,6.379822,0.053195,0.035384
0.020000,5.959745,17.482331,0.383064,2.166929,6.381570,0.087425,0.039846
0.020000,6.005597,17.484267,0.428956,2.294613,6.384182,0.130621,0.044553
0.020000,6.053990,17.486545,0.477403,2.422328,6.385739,0.077840,0.049503
0.020000,6.104922,17.489200,0.528405,2.550094,6.388288,0.127425,0.054691
0.020000,6.158393,17.492273,0.581963,2.677917,6.391196,0.145416,0.060113
0.020000,6.214397,17.495803,0.638079,2.805795,6.393873,0.133858,0.065765
0.020000,6.272934,17.499831,0.696754,2.933741,6.397290,0.170849,0.071640
0.020000,6.333998,17.504400,0.757989,3.061748,6.400366,0.153807,0.077735
0.020000,6.397586,17.509555,0.821785,3.189840,6.404572,0.210267,0.084042
0.020000,6.463694,17.515342,0.888146,3.318018,6.408926,0.217722,0.090555
0.020000,6.532315,17.521805,0.957071,3.446271,6.412654,0.186386,0.097267
0.020000,6.603446,17.528994,1.028564,3.574631,6.417997,0.267143,0.104171
0.020000,6.677078,17.536957,1.102625,3.703084,6.422643,0.232295,0.111257
0.020000,6.753206,17.545742,1.179259,3.831662,6.428923,0.314007,0.118518
0.020000,6.831822,17.555400,1.258466,3.960343,6.434019,0.254816,0.125943
0.020000,6.912918,17.565981,1.340249,4.089154,6.440562,0.327123,0.133524
0.020000,6.996485,17.577535,1.424611,4.218096,6.447099,0.326883,0.141248
0.020000,7.082513,17.590114,1.511554,4.347180,6.454210,0.355522,0.149106
0.020000,7.170995,17.603768,1.601082,4.476416,6.461810,0.380007,0.157085
0.020000,7.261917,17.618547,1.693199,4.605801,6.469210,0.370007,0.165173
0.020000,7.355271,17.634502,1.787906,4.735352,6.477564,0.417726,0.173356
0.020000,7.451043,17.651683,1.885207,4.865070,6.485905,0.417027,0.181621
0.020000,7.549223,17.670137,1.985106,4.994970,6.495025,0.456013,0.189955
0.020000,7.649798,17.689914,2.087607,5.125050,6.503997,0.448586,0.198341
0.020000,7.752756,17.711060,2.192714,5.255324,6.513691,0.484704,0.206766
0.020000,7.858082,17.733621,2.300430,5.385792,6.523382,0.484541,0.215213
0.020000,7.965766,17.757639,2.410759,5.516467,6.533777,0.519747,0.223665
0.020000,8.075792,17.783158,2.523706,5.647347,6.543987,0.510509,0.232107
0.020000,8.188148,17.810217,2.639275,5.778444,6.554843,0.542817,0.240521
0.020000,8.302822,17.838855,2.757470,5.909756,6.565591,0.537403,0.248890
0.020000,8.419799,17.869106,2.878296,6.041292,6.576787,0.559772,0.257196
0.020000,8.539068,17.901004,3.001757,6.173053,6.588068,0.564080,0.265420
0.020000,8.660617,17.934579,3.127858,6.305045,6.599584,0.575755,0.273546
0.020000,8.784435,17.969858,3.256603,6.437268,6.611162,0.578943,0.281553
0.020000,8.910510,18.006866,3.387998,6.569726,6.622893,0.586516,0.289423
0.020000,9.038834,18.045622,3.522046,6.702421,6.634752,0.592956,0.297137
0.020000,9.169397,18.086143,3.658753,6.835354,6.646645,0.594681,0.304677
0.020000,9.302193,18.128444,3.798124,6.968527,6.658650,0.600212,0.312023
0.020000,9.437216,18.172534,3.940162,7.101941,6.670694,0.602217,0.319155
0.020000,9.574461,18.218417,4.084874,7.235596,6.682793,0.604959,0.326055
0.020000,9.713926,18.266096,4.232264,7.369495,6.694950,0.607861,0.332703
0.020000,9.855611,18.315566,4.382337,7.503637,6.707063,0.605637,0.339079
0.020000,9.999516,18.366820,4.535097,7.638024,6.719345,0.614097,0.345164
0.020000,10.145647,18.419845,4.690551,7.772656,6.731610,0.613227,0.350939
0.020000,10.294007,18.474623,4.848701,7.907533,6.743865,0.612777,0.356383
0.020000,10.444608,18.531132,5.009554,8.042659,6.756318,0.622643,0.361477
0.020000,10.597459,18.589344,5.173115,8.178035,6.768765,0.622333,0.366201
0.020000,10.752576,18.649224,5.339388,8.313662,6.781360,0.629756,0.370535
0.020000,10.909975,18.710733,5.508379,8.449543,6.794052,0.634600,0.374458
0.020000,11.069678,18.773826,5.680093,8.585680,6.806879,0.641339,0.377950
0.020000,11.231707,18.838451,5.854534,8.722080,6.819993,0.655730,0.380989
0.020000,11.396090,18.904549,6.031709,8.858745,6.833236,0.662116,0.383556
0.020000,11.562859,18.972057,6.211623,8.995681,6.846788,0.677611,0.385627
0.020000,11.732046,19.040901,6.394281,9.132893,6.860602,0.690722,0.387182
0.020000,11.903690,19.111003,6.579689,9.270388,6.874758,0.707797,0.388196
0.020000,12.077834,19.182274,6.767852,9.408174,6.889289,0.726565,0.388648
