dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.577492,17.224681,0.000654,0.065374,3.268687,163.434342,6.282386
0.020000,5.577492,17.224681,0.003269,0.196121,6.537374,163.434342,6.282655
0.020000,5.577566,17.224681,0.008499,0.326869,6.537374,0.000000,0.000008
0.020000,5.585411,17.224684,0.016343,0.457616,6.537374,-0.000000,0.000814
0.020000,5.595871,17.224698,0.026803,0.588364,6.537374,0.000000,0.001888
0.020000,5.608946,17.224732,0.039878,0.719111,6.537374,0.000000,0.003230
0.020000,5.624635,17.224795,0.055568,0.849859,6.537374,-0.000000,0.004839
0.020000,5.642940,17.224901,0.073872,0.980606,6.537374,0.000000,0.006715
0.020000,5.663859,17.225064,0.094792,1.111354,6.537374,-0.000000,0.008856
0.020000,5.687392,17.225301,0.118326,1.242101,6.537374,0.000000,0.011262
0.020000,5.713539,17.225630,0.144476,1.372848,6.537374,-0.000000,0.013931
0.020000,5.742300,17.226073,0.173240,1.503596,6.537374,0.000000,0.016862
0.020000,5.773674,17.226652,0.204620,1.634343,6.537374,0.000000,0.020053
0.020000,5.807661,17.227392,0.238614,1.765091,6.537374,-0.000000,0.023504
0.020000,5.844258,17.228320,0.275223,1.895838,6.537374,0.000000,0.027210
0.020000,5.883466,17.229465,0.314448,2.026586,6.537374,-0.000000,0.031171
0.020000,5.925282,17.230857,0.356287,2.157333,6.537374,0.000000,0.035384
0.020000,5.969704,17.232529,0.400741,2.288081,6.537374,-0.000000,0.039846
0.020000,6.016731,17.234515,0.447810,2.418828,6.537374,0.000000,0.044553
0.020000,6.066360,17.236851,0.497494,2.549576,6.537374,0.000000,0.049503
0.020000,6.118588,17.239574,0.549793,2.680323,6.537374,0.000000,0.054691
0.020000,6.173412,17.242725,0.604707,2.811071,6.537374,0.000000,0.060113
0.020000,6.230827,17.246343,0.662236,2.941818,6.537374,0.000000,0.065765
0.020000,6.290829,17.250472,0.722380,3.072566,6.537374,0.000000,0.071640
0.020000,6.353412,17.255155,0.785139,3.203313,6.537374,-0.000000,0.077735
0.020000,6.418572,17.260438,0.850512,3.334061,6.537374,-0.000000,0.084042
0.020000,6.486302,17.266366,0.918501,3.464808,6.537374,0.000000,0.090555
0.020000,6.556594,17.272987,0.989105,3.595556,6.537374,0.000000,0.097267
0.020000,6.629441,17.280349,1.062323,3.726303,6.537374,-0.000000,0.104171
0.020000,6.704835,17.288502,1.138157,3.857050,6.537374,-0.000000,0.111257
0.020000,6.782766,17.297496,1.216605,3.987798,6.537374,0.000000,0.118518
