dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.577292,16.974681,0.000654,0.065374,3.268687,163.434342,6.282386
0.020000,5.577359,16.974681,0.000721,0.003361,-3.100619,-318.465305,6.282655
0.020000,5.577568,16.974681,0.000930,0.010437,0.353763,172.719108,0.000008
0.020000,5.585614,16.974684,0.008976,0.402322,19.594245,962.024095,0.000814
0.020000,5.596343,16.974699,0.019705,0.536424,6.705106,-644.456924,0.001888
0.020000,5.609753,16.974733,0.033115,0.670515,6.704577,-0.026454,0.003230
0.020000,5.625845,16.974798,0.049207,0.804602,6.704333,-0.012189,0.004839
0.020000,5.644618,16.974907,0.067980,0.938674,6.703597,-0.036816,0.006715
0.020000,5.666073,16.975074,0.089435,1.072745,6.703570,-0.001354,0.008856
0.020000,5.690207,16.975316,0.113571,1.206792,6.702320,-0.062491,0.011262
0.020000,5.717022,16.975654,0.140388,1.340842,6.702514,0.009668,0.013931
0.020000,5.746516,16.976108,0.169885,1.474864,6.701105,-0.070409,0.016862
0.020000,5.778687,16.976702,0.202062,1.608862,6.699877,-0.061440,0.020053
0.020000,5.813536,16.977461,0.236919,1.742843,6.699057,-0.040984,0.023504
0.020000,5.851060,16.978413,0.274455,1.876793,6.697528,-0.076422,0.027210
0.020000,5.891257,16.979587,0.314670,2.010727,6.696678,-0.042512,0.031171
0.020000,5.934126,16.981014,0.357562,2.144617,6.694525,-0.107678,0.035384
0.020000,5.979663,16.982728,0.403132,2.278471,6.692710,-0.090714,0.039846
0.020000,6.027866,16.984763,0.451378,2.412299,6.691394,-0.065799,0.044553
0.020000,6.078731,16.987157,0.502299,2.546070,6.688529,-0.143284,0.049503
0.020000,6.132254,16.989948,0.555895,2.679795,6.686235,-0.114670,0.054691
0.020000,6.188431,16.993176,0.612164,2.813471,6.683819,-0.120836,0.060113
0.020000,6.247256,16.996884,0.671106,2.947084,6.680627,-0.159599,0.065765
0.020000,6.308723,17.001114,0.732719,3.080637,6.677649,-0.148899,0.071640
0.020000,6.372826,17.005910,0.797001,3.214111,6.673719,-0.196464,0.077735
0.020000,6.439558,17.011320,0.863951,3.347518,6.670353,-0.168328,0.084042
0.020000,6.508910,17.017390,0.933568,3.480848,6.666491,-0.193071,0.090555
0.020000,6.580873,17.024169,1.005850,3.614074,6.661295,-0.259799,0.097267
0.020000,6.655437,17.031705,1.080794,3.747216,6.657092,-0.210170,0.104171
0.020000,6.732592,17.040048,1.158399,3.880244,6.651434,-0.282881,0.111257
0.020000,6.812326,17.049249,1.238662,4.013179,6.646747,-0.234370,0.118518
0.020000,6.894627,17.059360,1.321582,4.145980,6.640062,-0.334274,0.125943
0.020000,6.979481,17.070431,1.407155,4.278663,6.634121,-0.297024,0.133524
0.020000,7.066874,17.082515,1.495379,4.411211,6.627398,-0.336168,0.141248
0.020000,7.156791,17.095662,1.586252,4.543621,6.620492,-0.345271,0.149106
0.020000,7.249214,17.109924,1.679770,4.675887,6.613318,-0.358699,0.157085
0.020000,7.344128,17.125352,1.775929,4.807990,6.605161,-0.407855,0.165173
0.020000,7.441515,17.141996,1.874728,4.939935,6.597237,-0.396197,0.173356
0.020000,7.541355,17.159907,1.976162,5.071706,6.588551,-0.434330,0.181621
0.020000,7.643630,17.179131,2.080228,5.203305,6.579950,-0.430055,0.189955
0.020000,7.748320,17.199717,2.186923,5.334715,6.570491,-0.472910,0.198341
0.020000,7.855403,17.221710,2.296241,5.465937,6.561113,-0.468920,0.206766
0.020000,7.964860,17.245155,2.408181,5.596959,6.551093,-0.501021,0.215213
0.020000,8.076668,17.270094,2.522736,5.727783,6.541203,-0.494479,0.223665
0.020000,8.190806,17.296566,2.639904,5.858394,6.530561,-0.532091,0.232107
0.020000,8.307253,17.324610,2.759680,5.988796,6.520073,-0.524405,0.240521
0.020000,8.425986,17.354262,2.882060,6.118976,6.509001,-0.553608,0.248890
0.020000,8.546984,17.385553,3.007038,6.248935,6.497967,-0.551700,0.257196
0.020000,8.670226,17.418513,3.134612,6.378668,6.486643,-0.566189,0.265420
0.020000,8.795691,17.453170,3.264775,6.508172,6.475228,-0.570764,0.273546
0.020000,8.923359,17.489546,3.397524,6.637444,6.463590,-0.581886,0.281553
0.020000,9.053210,17.527661,3.532854,6.766481,6.451863,-0.586368,0.289423
0.020000,9.185226,17.567532,3.670759,6.895283,6.440061,-0.590078,0.297137
0.020000,9.319390,17.609171,3.811236,7.023845,6.428123,-0.596891,0.304677
0.020000,9.455685,17.652587,3.954279,7.152168,6.416158,-0.598276,0.312023
0.020000,9.594098,17.697783,4.099885,7.280251,6.404117,-0.602050,0.319155
0.020000,9.734615,17.744761,4.248046,7.408091,6.392034,-0.604133,0.326055
0.020000,9.877226,17.793514,4.398760,7.535690,6.379925,-0.605459,0.332703
0.020000,10.021920,17.844035,4.552021,7.663044,6.367689,-0.611781,0.339079
0.020000,10.168692,17.896310,4.707824,7.790154,6.355543,-0.607319,0.345164
0.020000,10.317536,17.950320,4.866164,7.917020,6.343285,-0.612918,0.350939
0.020000,10.468451,18.006041,5.027037,8.043638,6.330905,-0.618985,0.356383
0.020000,10.621436,18.063445,5.190437,8.170010,6.318588,-0.615868,0.361477
0.020000,10.776495,18.122496,5.356360,8.296132,6.306091,-0.624814,0.366201
0.020000,10.933633,18.183157,5.524800,8.422002,6.293532,-0.627983,0.370535
0.020000,11.092859,18.245380,5.695753,8.547619,6.280807,-0.636221,0.374458
0.020000,11.254185,18.309114,5.869212,8.672977,6.267901,-0.645321,0.377950
0.020000,11.417626,18.374302,6.045174,8.798075,6.254905,-0.649799,0.380989
0.020000,11.583200,18.440879,6.223632,8.922907,6.241590,-0.665742,0.383556
0.020000,11.750929,18.508775,6.404581,9.047468,6.228068,-0.676092,0.385627
0.020000,11.920836,18.577913,6.588016,9.171752,6.214216,-0.692622,0.387182
0.020000,12.092950,18.648206,6.773931,9.295753,6.200035,-0.709036,0.388196
0.020000,12.267302,18.719563,6.962320,9.419463,6.185482,-0.727647,0.388648
0.020000,12.443927,18.791883,7.153178,9.542873,6.170523,-0.747964,0.388512
0.020000,12.622863,18.865057,7.346497,9.665975,6.155099,-0.771191,0.387765
0.020000,12.804150,18.938967,7.542273,9.788759,6.139208,-0.794561,0.386381
0.020000,12.987834,19.013488,7.740497,9.911215,6.122798,-0.820500,0.384334
0.020000,13.173960,19.088482,7.941163,10.033332,6.105834,-0.848162,0.381596
0.020000,13.362579,19.163803,8.144265,10.155099,6.088364,-0.873536,0.378140
0.020000,13.551932,19.239185,8.348072,10.190313,1.760677,-216.384356,0.385960
0.020000,13.749499,19.321848,8.562235,10.708155,25.892145,1206.573425,0.405843
0.020000,13.946978,19.408620,8.777937,10.785087,3.846575,-1102.278488,0.421415
0.020000,14.144660,19.498655,8.995156,10.860984,3.794842,-2.586654,0.432595
0.020000,14.342288,19.590806,9.213213,10.902844,2.093019,-85.091141,0.439276
0.020000,14.538700,19.683443,9.430375,10.858074,-2.238524,-216.577145,0.441383
0.020000,14.732774,19.774939,9.644936,10.728075,-6.499915,-213.069550,0.438955
0.020000,14.924123,19.864067,9.856024,10.554402,-8.683686,-109.188565,0.432104
0.020000,15.112906,19.949938,10.063420,10.369782,-9.230983,-27.364875,0.420946
0.020000,15.299452,20.031823,10.267146,10.186318,-9.173193,2.889524,0.405574
0.020000,15.484031,20.109035,10.467224,10.003882,-9.121825,2.568414,0.386072
0.020000,15.666853,20.180929,10.663674,9.822514,-9.068391,2.671685,0.362526
0.020000,15.848067,20.246902,10.856523,9.642463,-9.002558,3.291648,0.335042
0.020000,16.027756,20.306402,11.045807,9.464190,-8.913614,4.447184,0.303762
0.020000,16.205943,20.358929,11.231575,9.288385,-8.790288,6.166309,0.268884
0.020000,16.382589,20.404054,11.413893,9.115933,-8.622603,8.384261,0.230677
0.020000,16.557601,20.441425,11.592851,8.947869,-8.403205,10.969866,0.189491
0.020000,16.730836,20.470785,11.768556,8.785280,-8.129447,13.687943,0.145763
0.020000,16.902114,20.491976,11.941140,8.629189,-7.804534,16.245611,0.100011
0.020000,17.071225,20.504952,12.110748,8.480401,-7.439372,18.258118,0.052819
0.020000,17.237943,20.509775,12.277536,8.339412,-7.049470,19.495124,0.004810
0.020000,17.402038,20.506618,12.441662,8.206279,-6.656636,19.641694,6.239794
0.020000,17.563285,20.495752,12.603275,8.080633,-6.282309,18.716317,6.191998
0.020000,17.721474,20.477535,12.762509,7.961715,-5.945903,16.820302,6.145145
0.020000,17.872932,20.453078,12.915929,7.670979,-14.536786,-429.544146,6.106236
0.020000,18.041099,20.424741,13.086467,8.526906,42.796316,2866.655117,6.125470
0.020000,18.205908,20.399797,13.253152,8.334267,-9.631945,-2621.413060,6.139748
0.020000,18.367317,20.377350,13.416115,8.148129,-9.306866,16.253930,6.149592
0.020000,18.525305,20.356635,13.575455,7.967034,-9.054782,12.604203,6.155406
0.020000,18.679856,20.336989,13.731250,7.789740,-8.864704,9.503904,6.157496
0.020000,18.830951,20.317833,13.883554,7.615211,-8.726451,6.912687,6.156084
0.020000,18.978562,20.298655,14.032406,7.442570,-8.632048,4.720151,6.151320
0.020000,19.122648,20.278997,14.177827,7.271056,-8.575669,2.818914,6.143296
0.020000,19.263155,20.258448,14.319828,7.100048,-8.550424,1.262275,6.132052
0.020000,19.400006,20.236634,14.458407,6.928968,-8.554006,-0.179107,6.117584
0.020000,19.533109,20.213216,14.593555,6.757376,-8.579569,-1.278162,6.099851
0.020000,19.662348,20.187886,14.725252,6.584887,-8.624453,-2.244209,6.078782
0.020000,19.787586,20.160366,14.853478,6.411276,-8.680552,-2.804945,6.054285
0.020000,19.908662,20.130409,14.978205,6.236359,-8.745861,-3.265432,6.026259
0.020000,20.025398,20.097803,15.099409,6.060206,-8.807634,-3.088642,5.994604
0.020000,20.137598,20.062374,15.217070,5.883056,-8.857544,-2.495535,5.959243
0.020000,20.245057,20.023989,15.331180,5.705458,-8.879893,-1.117421,5.920136
0.020000,20.347568,19.982564,15.441743,5.528194,-8.863190,0.835136,5.877314
0.020000,20.444932,19.938068,15.548793,5.352479,-8.785728,3.873102,5.830899
0.020000,20.536975,19.890527,15.652389,5.179794,-8.634241,7.574379,5.781134
0.020000,20.623560,19.840022,15.752627,5.011913,-8.394050,12.009527,5.728401
0.020000,20.704599,19.786691,15.849640,4.850656,-8.062895,16.557730,5.673230
0.020000,20.780063,19.730721,15.943595,4.697743,-7.645610,20.864285,5.616288
0.020000,20.849985,19.672341,16.034685,4.554474,-7.163489,24.106060,5.558345
0.020000,20.914461,19.611819,16.123115,4.421543,-6.646517,25.848595,5.500226
0.020000,20.973639,19.549449,16.209093,4.298853,-6.134491,25.601289,5.442749
0.020000,21.027714,19.485547,16.292804,4.185578,-5.663761,23.536493,5.386666
0.020000,21.076917,19.420442,16.374410,4.080279,-5.264942,19.940949,5.332614
0.020000,21.121502,19.354474,16.454032,3.981115,-4.958230,15.335619,5.281086
0.020000,21.161744,19.287978,16.531757,3.886239,-4.743800,10.721476,5.232422
0.020000,21.197925,19.221283,16.607633,3.793832,-4.620351,6.172436,5.186820
0.020000,21.230335,19.154706,16.681680,3.702328,-4.575164,2.259348,5.144354
0.020000,21.259258,19.088541,16.753890,3.610521,-4.590383,-0.760951,5.105001
0.020000,21.284979,19.023060,16.824241,3.517549,-4.648603,-2.910965,5.068667
0.020000,21.307769,18.958508,16.892699,3.422872,-4.733831,-4.261398,5.035210
0.020000,21.327891,18.895106,16.959217,3.325908,-4.848197,-5.718299,5.004462
0.020000,21.345591,18.833045,17.023752,3.226774,-4.956716,-5.425969,4.976237
0.020000,21.361103,18.772495,17.086258,3.125278,-5.074782,-5.903284,4.950349
0.020000,21.374643,18.713603,17.146687,3.021427,-5.192547,-5.888250,4.926615
0.020000,21.386413,18.656494,17.204996,2.915471,-5.297806,-5.262969,4.904861
0.020000,21.396599,18.601277,17.261145,2.807426,-5.402265,-5.222960,4.884923
0.020000,21.405372,18.548044,17.315096,2.697556,-5.493507,-4.562087,4.866652
0.020000,21.412887,18.496876,17.366813,2.585865,-5.584551,-4.552199,4.849911
0.020000,21.419288,18.447837,17.416268,2.472741,-5.656200,-3.582449,4.834574
0.020000,21.424706,18.400987,17.463430,2.358120,-5.731044,-3.742223,4.820529
0.020000,21.429257,18.356373,17.508276,2.242285,-5.791760,-3.035759,4.807676
0.020000,21.433051,18.314036,17.550782,2.125326,-5.847950,-2.809515,4.795924
0.020000,21.436185,18.274012,17.590928,2.007296,-5.901482,-2.676627,4.785192
0.020000,21.438747,18.236331,17.628697,1.888437,-5.942970,-2.074358,4.775407
0.020000,21.440817,18.201017,17.664071,1.768705,-5.986558,-2.179434,4.766508
0.020000,21.442467,18.168091,17.697039,1.648371,-6.016735,-1.508815,4.758435
0.020000,21.443761,18.137574,17.727583,1.527231,-6.056994,-2.012972,4.751139
0.020000,21.444758,18.109477,17.755697,1.405710,-6.076036,-0.952074,4.744575
0.020000,21.445508,18.083817,17.781369,1.283562,-6.107402,-1.568346,4.738705
0.020000,21.446059,18.060601,17.804591,1.161126,-6.121826,-0.721174,4.733493
